                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6112,                 5.8848,                0.93169,                0.51819,                0.29589,                0.31386,                0.22888,                 1.0777,                 2.2522,                0.82425,             5.5572e-05,             5.5572e-05,             5.5572e-05
                      2,                 1.0689,                 2.3417,                0.82666,                0.70363,                0.38461,                0.43387,                0.32642,                0.94523,                 1.4336,                0.81645,             0.00010757,             0.00010757,             0.00010757
                      3,                0.97209,                 1.5521,                0.82078,                0.59476,                0.46437,                0.50205,                0.37363,                0.90027,                 1.1961,                0.81124,             0.00015589,             0.00015589,             0.00015589
                      4,                0.92214,                 1.2897,                0.81478,                0.62553,                0.48538,                0.52484,                0.39397,                 0.8601,                 1.0153,                0.80821,             0.00015047,             0.00015047,             0.00015047
                      5,                0.88667,                  1.151,                0.81466,                0.63799,                0.50814,                0.55028,                0.41237,                0.83126,                0.95863,                0.80572,             0.00014496,             0.00014496,             0.00014496
                      6,                0.86885,                 1.0359,                0.80599,                0.61661,                0.53786,                0.55461,                0.41897,                0.81335,                0.91166,                0.80345,             0.00013945,             0.00013945,             0.00013945
                      7,                0.84358,                 1.0083,                 0.8053,                 0.6391,                0.54573,                0.56323,                0.42939,                0.79559,                0.86082,                0.80289,             0.00013393,             0.00013393,             0.00013393
                      8,                0.85037,                0.97348,                 0.8066,                0.63761,                0.55664,                 0.5732,                0.43228,                0.80221,                 0.8373,                0.80266,             0.00012842,             0.00012842,             0.00012842
                      9,                0.80746,                0.87308,                0.80418,                0.63962,                0.55836,                0.57613,                0.43524,                0.80673,                0.82463,                 0.8002,             0.00012291,             0.00012291,             0.00012291
                     10,                0.82382,                0.88961,                0.80269,                0.66631,                0.57277,                0.57797,                0.44014,                 0.7894,                0.80392,                0.79947,              0.0001174,              0.0001174,              0.0001174
                     11,                0.81107,                 0.8454,                0.80324,                0.65598,                0.58757,                0.59586,                0.44992,                0.79789,                0.78659,                0.80065,             0.00011189,             0.00011189,             0.00011189
                     12,                0.80199,                0.81537,                0.80285,                0.64943,                0.59927,                0.59944,                0.45748,                 0.7724,                0.77723,                0.79846,             0.00010638,             0.00010638,             0.00010638
                     13,                0.78343,                0.80386,                0.79604,                0.66446,                0.59983,                0.60269,                0.46129,                0.76613,                0.77342,                0.79656,             0.00010087,             0.00010087,             0.00010087
                     14,                 0.7686,                 0.7717,                0.79779,                0.64619,                0.60125,                0.60636,                0.46446,                0.76743,                 0.7551,                0.79696,             9.5357e-05,             9.5357e-05,             9.5357e-05
                     15,                0.77279,                0.74911,                0.79969,                0.65533,                0.63074,                 0.6204,                0.47438,                0.75548,                0.74721,                0.79578,             8.9846e-05,             8.9846e-05,             8.9846e-05
                     16,                0.77017,                0.73137,                0.80138,                0.71167,                0.69874,                0.70078,                0.52115,                 0.7608,                0.73455,                0.79569,             8.4335e-05,             8.4335e-05,             8.4335e-05
                     17,                0.76829,                0.72531,                 0.7998,                0.71934,                0.66874,                0.68516,                0.51908,                0.75333,                0.73489,                0.79579,             7.8824e-05,             7.8824e-05,             7.8824e-05
                     18,                0.76814,                0.70998,                0.79873,                0.72619,                0.67265,                0.69799,                0.52916,                0.74201,                 0.7286,                0.79433,             7.3313e-05,             7.3313e-05,             7.3313e-05
                     19,                0.73544,                0.69199,                0.79387,                0.75352,                0.70423,                0.73436,                  0.553,                0.74519,                0.72776,                0.79389,             6.7802e-05,             6.7802e-05,             6.7802e-05
                     20,                0.74401,                0.71316,                0.79549,                0.74534,                0.74792,                0.75424,                0.55774,                0.73426,                0.72638,                0.79376,             6.2291e-05,             6.2291e-05,             6.2291e-05
                     21,                0.72664,                0.65044,                0.79852,                0.75764,                0.74126,                0.75854,                0.55597,                0.74446,                0.70579,                0.79459,              5.678e-05,              5.678e-05,              5.678e-05
                     22,                 0.7194,                0.64006,                0.79739,                0.75153,                0.75053,                0.76204,                0.56645,                0.74228,                0.71471,                0.79369,             5.1269e-05,             5.1269e-05,             5.1269e-05
                     23,                0.71323,                 0.6274,                0.79659,                0.75776,                0.74193,                0.76596,                0.56724,                0.73956,                0.70769,                0.79399,             4.5758e-05,             4.5758e-05,             4.5758e-05
                     24,                 0.7098,                0.62156,                0.79728,                0.73947,                0.74557,                0.75371,                0.56421,                0.73291,                 0.7053,                0.79331,             4.0247e-05,             4.0247e-05,             4.0247e-05
                     25,                 0.6988,                0.61107,                0.79731,                0.76068,                0.76483,                0.77745,                0.58223,                0.73533,                0.71019,                0.79296,             3.4736e-05,             3.4736e-05,             3.4736e-05
                     26,                0.70014,                0.61191,                0.79488,                 0.7578,                0.77084,                0.77718,                 0.5819,                 0.7308,                0.68544,                0.79286,             2.9225e-05,             2.9225e-05,             2.9225e-05
                     27,                0.68687,                0.59899,                0.79495,                 0.7677,                 0.7852,                0.77418,                0.57687,                0.73257,                 0.6887,                0.79257,             2.3714e-05,             2.3714e-05,             2.3714e-05
                     28,                0.67803,                0.59002,                0.79452,                0.77154,                0.76965,                0.78829,                0.58186,                0.72963,                0.69418,                 0.7927,             1.8203e-05,             1.8203e-05,             1.8203e-05
                     29,                0.68455,                0.59817,                0.79355,                0.76367,                0.78294,                 0.7927,                0.58965,                0.72675,                 0.6905,                0.79262,             1.2692e-05,             1.2692e-05,             1.2692e-05
                     30,                 0.6811,                0.58873,                0.79376,                0.76934,                0.78936,                0.78552,                0.58968,                0.72379,                0.68709,                0.79206,              7.181e-06,              7.181e-06,              7.181e-06
